dog_id,dog_name,age_group,breed_mix,intake_date,current_status,foster_status,adoption_status,medical_status,behavior_notes,special_needs,good_with_dogs,good_with_cats,good_with_children,energy_level,priority_level,days_in_care,estimated_monthly_cost,adoption_ready,bio_needed,social_post_needed
DOG-1046,Sasha,Adult,Terrier mix,2026-01-17,Intake,Needs Foster,Not Ready,Clear,Crate trained,False,Yes,No,Unknown,Low,High,168,66,False,False,False
DOG-1047,Phoebe,Adult,Spaniel mix,2025-12-17,Medical Hold,In Foster,Needs Review,Vaccines Needed,Loves quiet routines,False,Unknown,No,Unknown,High,High,199,150,False,False,False
DOG-1048,Gus,Adult,Hound mix,2026-02-05,Adoption Ready,In Foster,Available,Clear,Friendly and energetic,True,Unknown,No,Yes,Medium,Critical,149,80,True,True,True
DOG-1049,Poppy,Adult,Terrier mix,2026-01-07,Foster Needed,Needs Foster,Available Soon,Vaccines Needed,Loves quiet routines,False,Yes,Yes,No,High,High,178,214,False,False,True
DOG-1050,George,Puppy,Hound mix,2026-04-06,Adoption Ready,Needs Backup,Available,Clear,Friendly and energetic,False,Yes,Unknown,Unknown,Medium,Medium,89,91,True,True,False
DOG-1051,Rocco,Young,Spaniel mix,2026-02-02,Foster Needed,Needs Foster,Not Ready,Clear,Needs slow introductions,False,Unknown,Yes,Unknown,High,Critical,152,65,False,False,True
DOG-1052,Ollie,Puppy,Beagle mix,2026-01-22,Adoption Ready,In Foster,Available,Dental Needed,Crate trained,False,No,No,Unknown,Medium,High,163,256,True,False,False
DOG-1053,Comet,Adult,Labrador mix,2026-05-25,In Foster,In Foster,Not Ready,Heartworm Treatment,Leash work in progress,True,Unknown,Unknown,Yes,Medium,High,40,183,False,False,False
DOG-1054,Penny,Senior,Boxer mix,2026-06-16,Medical Hold,Short-Term Foster,Not Ready,Vaccines Needed,Loves quiet routines,False,Yes,Yes,Unknown,High,Medium,18,116,False,False,False
DOG-1055,Lola,Puppy,Retriever mix,2026-02-23,Pending Adoption,Boarding,Application Pending,Clear,Shy at first,False,Unknown,Yes,No,Low,High,131,63,True,True,False
DOG-1056,Biscuit,Adult,Hound mix,2026-01-16,Adopted,In Foster,Adopted,Clear,Needs slow introductions,True,Yes,Unknown,Yes,Medium,High,169,77,False,False,False
DOG-1057,Charlie,Adult,Labrador mix,2026-05-02,Medical Hold,In Foster,Not Ready,Surgery Needed,Loves quiet routines,True,Unknown,Yes,Yes,Medium,Critical,63,588,False,False,False
DOG-1058,Bruno,Adult,Husky mix,2026-04-28,In Foster,In Foster,Available Soon,Heartworm Treatment,Friendly and energetic,True,No,Yes,Yes,Medium,High,67,249,False,False,False
DOG-1059,Mabel,Adult,Hound mix,2026-04-28,Pending Adoption,In Foster,Application Pending,Clear,Loves quiet routines,False,Yes,Unknown,Unknown,Low,Medium,67,73,True,False,True
DOG-1060,Archie,Senior,Cattle Dog mix,2026-05-11,Medical Hold,Short-Term Foster,Available Soon,Routine Care,Friendly and energetic,False,Yes,Unknown,Yes,Low,Medium,54,127,False,False,False
DOG-1061,Knox,Puppy,Shepherd mix,2026-03-21,Adoption Ready,Needs Backup,Available,Clear,Friendly and energetic,False,Yes,Unknown,Yes,High,Medium,105,90,True,False,True
DOG-1062,Macy,Puppy,Cattle Dog mix,2026-06-06,Adoption Ready,Boarding,Available,Routine Care,Needs slow introductions,False,Yes,No,Unknown,Medium,Medium,28,132,True,True,True
DOG-1063,Tilly,Adult,Cattle Dog mix,2025-12-28,In Foster,Boarding,Not Ready,Dental Needed,High play drive,False,Yes,Yes,Yes,Medium,High,188,235,False,False,False
DOG-1064,Callie,Puppy,Great Pyrenees mix,2026-01-30,Medical Hold,Needs Backup,Not Ready,Clear,Needs slow introductions,False,No,Unknown,Unknown,High,High,155,73,False,False,False
DOG-1065,Benny,Puppy,Hound mix,2026-02-28,Medical Hold,Short-Term Foster,Needs Review,Heartworm Treatment,Crate trained,True,Yes,Yes,No,High,High,126,379,False,False,False
DOG-1066,Sophie,Adult,Hound mix,2026-06-03,Adopted,In Foster,Adopted,Routine Care,High play drive,False,Yes,No,Unknown,Medium,Low,31,95,False,False,False
DOG-1067,Sam,Senior,Boxer mix,2026-01-20,Foster Needed,Needs Foster,Not Ready,Vaccines Needed,High play drive,False,Yes,No,Unknown,Medium,High,165,110,False,False,False
DOG-1068,Dexter,Senior,Pit mix,2026-05-25,Foster Needed,Needs Foster,Available Soon,Medical Hold,High play drive,True,No,No,Yes,Medium,High,40,435,False,False,False
DOG-1069,Ellie,Adult,Hound mix,2025-12-14,Adoption Ready,In Foster,Available,Routine Care,High play drive,False,Yes,No,Yes,Medium,High,202,80,True,False,True
DOG-1070,Hank,Young,Great Pyrenees mix,2026-04-16,In Foster,Needs Backup,Not Ready,Clear,Crate trained,True,No,No,Yes,High,Critical,79,62,False,False,False
DOG-1071,Minnie,Adult,Labrador mix,2026-02-25,Adopted,Boarding,Adopted,Routine Care,Crate trained,False,Unknown,Unknown,Unknown,Low,High,129,96,False,False,False
DOG-1072,Willow,Senior,Boxer mix,2026-01-21,Adopted,In Foster,Adopted,Heartworm Treatment,Loves quiet routines,True,Unknown,No,No,Medium,High,164,367,False,False,False
DOG-1073,Violet,Senior,Great Pyrenees mix,2026-05-03,In Foster,Boarding,Not Ready,Heartworm Treatment,High play drive,True,Yes,Unknown,No,High,High,62,319,False,False,False
DOG-1074,Mia,Senior,Husky mix,2026-01-05,Medical Hold,In Foster,Needs Review,Clear,Shy at first,False,Unknown,Unknown,Yes,High,High,180,45,False,False,False
DOG-1075,Otis,Senior,Great Pyrenees mix,2026-03-09,In Foster,In Foster,Needs Review,Heartworm Treatment,Crate trained,True,Yes,Unknown,Yes,Medium,High,117,264,False,False,False
DOG-1076,Cash,Senior,Hound mix,2026-06-15,Pending Adoption,In Foster,Application Pending,Clear,Crate trained,True,Yes,Yes,Unknown,Medium,High,19,57,True,True,True
DOG-1077,Buddy,Young,Chihuahua mix,2026-05-04,Foster Needed,Needs Foster,Needs Review,Clear,High play drive,False,Yes,Unknown,Unknown,Medium,High,61,58,False,False,True
DOG-1078,Kona,Adult,Mastiff mix,2025-12-31,Pending Adoption,Boarding,Application Pending,Routine Care,Leash work in progress,False,Yes,Unknown,Yes,Low,High,185,80,True,False,True
DOG-1079,Chase,Adult,Cattle Dog mix,2026-03-09,Adoption Ready,Short-Term Foster,Available,Clear,High play drive,True,Yes,Unknown,Yes,Medium,Critical,117,46,True,True,True
DOG-1080,Cleo,Adult,Beagle mix,2026-01-27,Adoption Ready,In Foster,Available,Clear,Friendly and energetic,False,No,Unknown,No,Medium,High,158,46,True,True,False
DOG-1081,Grace,Puppy,Mastiff mix,2026-04-01,In Foster,In Foster,Not Ready,Routine Care,Loves quiet routines,False,Unknown,Unknown,Unknown,High,Medium,94,127,False,False,False
DOG-1082,Rory,Adult,Boxer mix,2026-06-10,Medical Hold,In Foster,Not Ready,Clear,Loves quiet routines,True,Yes,Unknown,Yes,Low,High,24,56,False,False,False
DOG-1083,Lucky,Senior,Terrier mix,2026-06-22,Medical Hold,In Foster,Not Ready,Surgery Needed,High play drive,True,Yes,Unknown,Yes,High,Critical,12,389,False,False,False
DOG-1084,Maggie,Senior,Labrador mix,2026-01-11,Adopted,Boarding,Adopted,Vaccines Needed,Needs slow introductions,False,Unknown,Unknown,No,Medium,High,174,142,False,False,False
DOG-1085,Clover,Young,Retriever mix,2026-02-05,Medical Hold,Short-Term Foster,Available Soon,Surgery Needed,Friendly and energetic,True,Yes,No,Unknown,Medium,Critical,149,591,False,False,False
DOG-1086,Diesel,Adult,Shepherd mix,2026-03-03,In Foster,Short-Term Foster,Not Ready,Routine Care,Friendly and energetic,False,Yes,Yes,Yes,High,High,123,59,False,False,False
DOG-1087,Moose,Puppy,Beagle mix,2026-06-28,In Foster,In Foster,Not Ready,Heartworm Treatment,Shy at first,True,Yes,Unknown,Unknown,Medium,Critical,6,256,False,False,False
DOG-1088,Marley,Young,Spaniel mix,2026-04-17,Intake,Needs Foster,Not Ready,Clear,Needs slow introductions,False,Yes,No,Yes,Medium,Low,78,66,False,False,False
DOG-1089,Pearl,Puppy,Boxer mix,2026-02-17,In Foster,In Foster,Available Soon,Surgery Needed,High play drive,True,No,No,Yes,High,Critical,137,563,False,False,False
DOG-1090,Finn,Puppy,Retriever mix,2026-06-08,Pending Adoption,Short-Term Foster,Application Pending,Clear,Shy at first,False,Yes,No,Yes,Medium,Medium,26,49,True,True,False
DOG-1091,Winnie,Puppy,Cattle Dog mix,2026-03-28,In Foster,In Foster,Not Ready,Clear,Shy at first,False,Unknown,No,Yes,Low,Medium,98,61,False,False,False
DOG-1092,Rosie,Young,Labrador mix,2026-05-16,In Foster,In Foster,Available Soon,Vaccines Needed,Needs slow introductions,False,Yes,Yes,Yes,Medium,Low,49,161,False,False,False
DOG-1093,Millie,Adult,Great Pyrenees mix,2026-06-19,In Foster,In Foster,Available Soon,Clear,Friendly and energetic,False,Yes,Yes,Unknown,Medium,Medium,15,57,False,False,False
DOG-1094,Birdie,Adult,Retriever mix,2026-03-16,In Foster,Short-Term Foster,Not Ready,Vaccines Needed,Crate trained,False,Unknown,Unknown,Unknown,Medium,Medium,110,126,False,False,False
DOG-1095,Joy,Young,Mastiff mix,2025-12-09,In Foster,In Foster,Not Ready,Dental Needed,Needs slow introductions,False,Yes,Yes,Yes,Low,High,207,229,False,False,False
