expense_id,dog_name,expense_date,expense_type,amount,funded_status,urgency,notes
MED-9108,Ivy,2026-04-18,Heartworm Treatment,1747.05,Funded,High,Track before adoption readiness review.
MED-9109,Kona,2026-06-08,Spay/Neuter,199.81,Unfunded,High,Coordinate with volunteer medical lead.
MED-9110,Minnie,2026-06-24,Dental,1029.79,Partially Funded,High,Track before adoption readiness review.
MED-9111,Rory,2026-03-28,Surgery,2460.14,Partially Funded,High,Coordinate with volunteer medical lead.
MED-9112,June,2026-05-09,Heartworm Treatment,1399.25,Partially Funded,High,Needs funding visibility.
MED-9113,Lucky,2026-03-12,Surgery,855.03,Unfunded,High,Needs funding visibility.
MED-9114,Lola,2026-04-08,Diagnostic Testing,231.45,Partially Funded,Medium,Add to weekly founder review.
MED-9115,Knox,2026-06-04,Surgery,2498.52,Funded,High,Track before adoption readiness review.
MED-9116,Frankie,2026-07-03,Dental,660.1,Funded,High,Coordinate with volunteer medical lead.
MED-9117,Violet,2026-04-13,Heartworm Treatment,1326.68,Funded,High,Coordinate with volunteer medical lead.
MED-9118,Bruno,2026-06-07,Heartworm Treatment,1168.05,Unfunded,High,Track before adoption readiness review.
MED-9119,Ellie,2026-04-17,Medication,98.33,Funded,Medium,Needs funding visibility.
MED-9120,Willow,2026-04-20,Heartworm Treatment,1324.68,Partially Funded,High,Add to weekly founder review.
MED-9121,Archie,2026-03-29,Spay/Neuter,368.19,Partially Funded,Medium,Track before adoption readiness review.
MED-9122,Nala,2026-06-09,Surgery,2297.63,Funded,High,Candidate for donor update.
MED-9123,Scout,2026-06-23,Dental,851.01,Partially Funded,High,Candidate for donor update.
MED-9124,Tessa,2026-05-09,Heartworm Treatment,1665.11,Funded,High,Candidate for donor update.
MED-9125,Birdie,2026-06-30,Emergency Vet,814.17,Unfunded,Critical,Track before adoption readiness review.
MED-9126,Scout,2026-06-03,Dental,519.37,Unfunded,High,Track before adoption readiness review.
MED-9127,Lola,2026-06-27,Routine Visit,137.12,Funded,Low,Candidate for donor update.
MED-9128,Rosie,2026-06-22,Spay/Neuter,315.49,Partially Funded,Medium,Add to weekly founder review.
MED-9129,Lola,2026-03-12,Heartworm Treatment,1075.41,Unfunded,High,Coordinate with volunteer medical lead.
MED-9130,Hazel,2026-04-16,Dental,752.22,Funded,High,Add to weekly founder review.
MED-9131,Scout,2026-06-22,Dental,1405.37,Unfunded,High,Coordinate with volunteer medical lead.
MED-9132,Zoe,2026-05-02,Routine Visit,171.42,Funded,Low,Coordinate with volunteer medical lead.
MED-9133,Hazel,2026-04-09,Heartworm Treatment,950.2,Partially Funded,High,Candidate for donor update.
MED-9134,Frankie,2026-07-04,Dental,1109.29,Unfunded,High,Track before adoption readiness review.
MED-9135,Joy,2026-05-28,Dental,549.12,Unfunded,High,Add to weekly founder review.
MED-9136,Zoe,2026-05-31,Heartworm Treatment,1759.45,Unfunded,High,Add to weekly founder review.
MED-9137,Zoe,2026-06-17,Routine Visit,159.49,Partially Funded,Low,Add to weekly founder review.
MED-9138,Cooper,2026-06-21,Diagnostic Testing,200.38,Funded,Medium,Track before adoption readiness review.
MED-9139,Ollie,2026-03-24,Dental,606.57,Funded,High,Candidate for donor update.
MED-9140,Poppy,2026-06-25,Surgery,3108.89,Partially Funded,High,Candidate for donor update.
MED-9141,Tucker,2026-03-17,Surgery,2725.5,Partially Funded,High,Coordinate with volunteer medical lead.
MED-9142,Zoe,2026-05-26,Vaccines,167.59,Unfunded,Medium,Coordinate with volunteer medical lead.
MED-9143,Macy,2026-03-15,Routine Visit,170.86,Partially Funded,Low,Add to weekly founder review.
MED-9144,Rudy,2026-03-22,Routine Visit,174.9,Unfunded,Low,Coordinate with volunteer medical lead.
MED-9145,Sam,2026-05-11,Emergency Vet,785.21,Partially Funded,Critical,Track before adoption readiness review.
MED-9146,Sam,2026-06-07,Spay/Neuter,406.54,Funded,Medium,Add to weekly founder review.
MED-9147,Sunny,2026-03-26,Vaccines,58.58,Funded,Medium,Coordinate with volunteer medical lead.
MED-9148,Frankie,2026-03-09,Emergency Vet,1010.44,Partially Funded,Critical,Coordinate with volunteer medical lead.
MED-9149,Luna,2026-04-16,Surgery,1667.97,Funded,High,Needs funding visibility.
MED-9150,Diesel,2026-05-28,Medication,192.63,Unfunded,Medium,Candidate for donor update.
MED-9151,Pearl,2026-05-01,Surgery,863.66,Partially Funded,High,Needs funding visibility.
MED-9152,Theo,2026-06-04,Heartworm Treatment,1772.31,Funded,High,Add to weekly founder review.
MED-9153,Molly,2026-03-13,Emergency Vet,985.51,Partially Funded,Critical,Coordinate with volunteer medical lead.
MED-9154,Remy,2026-05-17,Emergency Vet,2151.39,Unfunded,Critical,Coordinate with volunteer medical lead.
MED-9155,Toby,2026-05-09,Heartworm Treatment,1038.22,Funded,High,Candidate for donor update.
MED-9156,Beau,2026-04-07,Vaccines,73.99,Unfunded,Medium,Add to weekly founder review.
MED-9157,Tilly,2026-03-26,Dental,933.66,Unfunded,High,Coordinate with volunteer medical lead.
MED-9158,Marley,2026-07-02,Vaccines,106.51,Funded,Medium,Needs funding visibility.
MED-9159,Joy,2026-04-28,Dental,1372.52,Unfunded,High,Track before adoption readiness review.
MED-9160,Callie,2026-06-13,Routine Visit,78.95,Funded,Low,Candidate for donor update.
MED-9161,Cash,2026-04-09,Diagnostic Testing,765.05,Funded,Medium,Track before adoption readiness review.
MED-9162,Dexter,2026-03-28,Emergency Vet,497.2,Unfunded,Critical,Track before adoption readiness review.
MED-9163,Callie,2026-04-09,Medication,127.07,Unfunded,Medium,Track before adoption readiness review.
MED-9164,Theo,2026-05-22,Medication,247.35,Partially Funded,Medium,Track before adoption readiness review.
MED-9165,Winnie,2026-03-08,Medication,258.93,Unfunded,High,Needs funding visibility.
MED-9166,Murphy,2026-06-11,Heartworm Treatment,972.52,Funded,High,Candidate for donor update.
MED-9167,Blue,2026-04-23,Heartworm Treatment,828.46,Funded,High,Coordinate with volunteer medical lead.
MED-9168,Charlie,2026-05-11,Medication,92.15,Unfunded,Medium,Candidate for donor update.
MED-9169,Rosie,2026-06-13,Heartworm Treatment,970.33,Partially Funded,High,Add to weekly founder review.
MED-9170,Ember,2026-06-24,Heartworm Treatment,781.07,Partially Funded,High,Candidate for donor update.
MED-9171,Buddy,2026-06-03,Emergency Vet,2083.68,Unfunded,Critical,Candidate for donor update.
MED-9172,Remy,2026-05-17,Heartworm Treatment,774.82,Unfunded,High,Add to weekly founder review.
MED-9173,Minnie,2026-04-13,Surgery,2454.35,Funded,High,Needs funding visibility.
MED-9174,Pearl,2026-03-22,Medication,201.38,Partially Funded,Medium,Needs funding visibility.
MED-9175,Finn,2026-04-18,Surgery,1174.62,Partially Funded,High,Candidate for donor update.
MED-9176,Willow,2026-03-13,Heartworm Treatment,892.9,Funded,High,Candidate for donor update.
MED-9177,Maple,2026-03-08,Routine Visit,180.42,Partially Funded,Low,Candidate for donor update.
MED-9178,Lola,2026-04-28,Vaccines,86.8,Funded,Medium,Coordinate with volunteer medical lead.
MED-9179,Rex,2026-06-05,Emergency Vet,1425.67,Funded,Critical,Coordinate with volunteer medical lead.
